Title,Item Description,Hyperlink
Raymond Louis Cates Collection,"E-6, Marine Corps, Cold War.","<a href=""https://www.loc.gov/item/afc2001001.86139/"" rel=""http://www.loc.gov/item/afc2001001.86139/"">
        

        

        
            
                
                    Raymond Louis Cates Collection
                
            
        

        
        
        </a>"
Elwyn R. Cates Collection,"Corporal, Army, World War, 1939-1945 - Pacific Theater; Philippines.","<a href=""https://www.loc.gov/item/afc2001001.32689/"" rel=""http://www.loc.gov/item/afc2001001.32689/"">
        

        

        
            
                
                    Elwyn R. Cates Collection
                
            
        

        
        
        </a>"
Elliott Cates Collection,"Lieutenant Junior Grade, Navy, Korean War, 1950-1953 - Virginia; Korea; Japan.","<a href=""https://www.loc.gov/item/afc2001001.90553/"" rel=""http://www.loc.gov/item/afc2001001.90553/"">
        

        

        
            
                
                    Elliott Cates Collection
                
            
        

        
        
        </a>"
Two little fraid cats,1 print : lithograph ; sheet 32.3 x 42.7 cm.,"<a href=""https://www.loc.gov/item/2003662899/"" rel=""http://www.loc.gov/item/2003662899/"">
        

        

        
            
                
                    Two little fraid cats
                
            
        

        
        
        </a>"
"Cat, window, Amsterdam, 1975",1 photograph : color.,"<a href=""https://www.loc.gov/item/2020703750/"" rel=""http://www.loc.gov/item/2020703750/"">
        

        

        
            
                
                    Cat, window, Amsterdam, 1975
                
            
        

        
        
        </a>"
"Gaston cat, portrait photograph",1 negative : safety ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2018714030/"" rel=""http://www.loc.gov/item/2018714030/"">
        

        

        
            
                
                    Gaston cat, portrait photograph
                
            
        

        
        
        </a>"
[Domestic cat nursing kittens],1 print : woodcut.,"<a href=""https://www.loc.gov/item/2008660988/"" rel=""http://www.loc.gov/item/2008660988/"">
        

        

        
            
                
                    [Domestic cat nursing kittens]
                
            
        

        
        
        </a>"
[Cat on sidewalk],1 photograph : negative ; film width 35 mm (roll format),"<a href=""https://www.loc.gov/item/2021636522/"" rel=""http://www.loc.gov/item/2021636522/"">
        

        

        
            
                
                    [Cat on sidewalk]
                
            
        

        
        
        </a>"
Robert Vernon Cates Collection,"Petty Officer First Class, Navy, World War, 1939-1945 - Okinawa Island (Ryukyu Islands); Pacific Theater.","<a href=""https://www.loc.gov/item/afc2001001.91264/"" rel=""http://www.loc.gov/item/afc2001001.91264/"">
        

        

        
            
                
                    Robert Vernon Cates Collection
                
            
        

        
        
        </a>"
Wild Cat Blues,"“Wild Cat Blues”--Clarence Williams' Blue Five (1923) Added to the National Registry: 2015 Essay by Thomas L. Morgan (guest post)* Clarence Williams Clarence Williams was the most successful African American music publisher of his time. He blazed a trail of entrepreneurship in the American recording industry that was unmatched. Highly energetic and adept at all sides of the music business from writing, publishing, and...","<a href=""//www.loc.gov/static/programs/national-recording-preservation-board/documents/WildCatBlues.pdf"" rel="""" target=""_blank"">
        

        

        
            
                
                    
                    Wild Cat Blues
                    
                
            
        

        
        
        </a>"
Rough on cats,"1 photomechanical print : offset, color. | Illustration shows Theodore Roosevelt delivering a jolt of electric current through wires spelling ""Presidential Message"" to two cats labeled ""House"" and ""Senate"" asleep on a wall.","<a href=""https://www.loc.gov/item/2011647308/"" rel=""http://www.loc.gov/item/2011647308/"">
        

        

        
            
                
                    Rough on cats
                
            
        

        
        
        </a>"
[Cats decorating Christmas tree],1 negative : glass ; 8 x 10 in.,"<a href=""https://www.loc.gov/item/2016817335/"" rel=""http://www.loc.gov/item/2016817335/"">
        

        

        
            
                
                    [Cats decorating Christmas tree]
                
            
        

        
        
        </a>"
[Cats in the dormitory],1 negative : glass ; 8 x 10 in.,"<a href=""https://www.loc.gov/item/2016817336/"" rel=""http://www.loc.gov/item/2016817336/"">
        

        

        
            
                
                    [Cats in the dormitory]
                
            
        

        
        
        </a>"
